Datum;Gemeinde;Geschlecht;Staatsangehoerigkeit;Anzahl;Jahr;Wohnviertel-Name;Wohnviertel-ID
31. Dezember 2020;Basel;M;Chile;3;2020;Matthäus;17
31. Dezember 2020;Basel;M;Costa Rica;2;2020;Matthäus;17
31. Dezember 2020;Basel;M;Irland;11;2020;Matthäus;17
31. Dezember 2020;Basel;M;Myanmar;4;2020;Matthäus;17
31. Dezember 2020;Basel;M;Norwegen;8;2020;Matthäus;17
31. Dezember 2020;Basel;M;Polen;44;2020;Matthäus;17
31. Dezember 2020;Basel;M;Slowakei;34;2020;Matthäus;17
31. Dezember 2020;Basel;M;Togo;1;2020;Matthäus;17
31. Dezember 2020;Basel;M;Uruguay;1;2020;Matthäus;17
31. Dezember 2003;Basel;M;Kongo (Brazzaville);8;2003;Matthäus;17
31. Dezember 2003;Basel;W;Eritrea;1;2003;Matthäus;17
31. Dezember 2003;Basel;W;Italien;506;2003;Matthäus;17
31. Dezember 2003;Basel;W;Kolumbien;11;2003;Matthäus;17
31. Dezember 2002;Basel;M;Union der Sozialistischen Sowjetrepu;2;2002;Matthäus;17
31. Dezember 2002;Basel;M;Vereinigte Staaten;26;2002;Matthäus;17
31. Dezember 2002;Basel;W;Australien;4;2002;Matthäus;17
31. Dezember 2002;Basel;W;Vereinigte Staaten;19;2002;Matthäus;17
31. Dezember 2003;Basel;M;Kongo (Kinshasa);5;2003;Matthäus;17
31. Dezember 2003;Basel;M;Sri Lanka;113;2003;Matthäus;17
31. Dezember 2003;Basel;M;Venezuela;3;2003;Matthäus;17
31. Dezember 2003;Basel;M;Chile;1;2003;Matthäus;17
31. Dezember 2003;Basel;M;China;18;2003;Matthäus;17
31. Dezember 2003;Basel;M;Afghanistan;4;2003;Matthäus;17
31. Dezember 2003;Basel;M;Gambia;1;2003;Matthäus;17
31. Dezember 2009;Basel;M;Syrien;6;2009;Matthäus;17
31. Dezember 2009;Basel;W;El Salvador;1;2009;Matthäus;17
