Datum;Gemeinde;Geschlecht;Staatsangehoerigkeit;Anzahl;Jahr;Wohnviertel-Name;Wohnviertel-ID
31. Dezember 2023;Basel;M;Bosnien und Herzegowina;47;2023;Matthäus;17
31. Dezember 2023;Basel;W;Belgien;7;2023;Matthäus;17
31. Dezember 2023;Basel;W;Schweden;14;2023;Matthäus;17
31. Dezember 2023;Basel;M;Albanien;6;2023;Matthäus;17
31. Dezember 2023;Basel;M;Argentinien;6;2023;Matthäus;17
31. Dezember 2023;Basel;M;Jamaika;2;2023;Matthäus;17
31. Dezember 2023;Basel;M;Japan;10;2023;Matthäus;17
31. Dezember 2023;Basel;M;Kanada;14;2023;Matthäus;17
31. Dezember 2023;Basel;M;Kongo (Kinshasa);5;2023;Matthäus;17
31. Dezember 2023;Basel;M;Marokko;10;2023;Matthäus;17
31. Dezember 2023;Basel;M;Moldova;1;2023;Matthäus;17
31. Dezember 2023;Basel;M;Norwegen;6;2023;Matthäus;17
31. Dezember 2023;Basel;M;Palästina;2;2023;Matthäus;17
31. Dezember 2023;Basel;M;Peru;4;2023;Matthäus;17
31. Dezember 2023;Basel;M;Rumänien;46;2023;Matthäus;17
31. Dezember 2023;Basel;M;Schweden;13;2023;Matthäus;17
31. Dezember 2023;Basel;M;Schweiz;3737;2023;Matthäus;17
31. Dezember 2023;Basel;M;Somalia;25;2023;Matthäus;17
31. Dezember 2023;Basel;M;Sri Lanka;62;2023;Matthäus;17
31. Dezember 2023;Basel;M;Venezuela;3;2023;Matthäus;17
31. Dezember 2023;Basel;W;Brasilien;52;2023;Matthäus;17
31. Dezember 2023;Basel;W;Griechenland;23;2023;Matthäus;17
31. Dezember 2023;Basel;W;Guinea-Bissau;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Irak;8;2023;Matthäus;17
31. Dezember 2023;Basel;W;Israel;2;2023;Matthäus;17
31. Dezember 2023;Basel;W;Kenia;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Kolumbien;11;2023;Matthäus;17
31. Dezember 2023;Basel;W;Libanon;6;2023;Matthäus;17
31. Dezember 2023;Basel;W;Luxemburg;5;2023;Matthäus;17
31. Dezember 2023;Basel;W;Portugal;209;2023;Matthäus;17
31. Dezember 2023;Basel;W;Rumänien;73;2023;Matthäus;17
31. Dezember 2023;Basel;W;Singapur;2;2023;Matthäus;17
31. Dezember 2023;Basel;W;Sudan;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Venezuela;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Bolivien;6;2023;Matthäus;17
